SYMBOL,NAME OF COMPANY,normalizedName
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,dolphin offshore enterprises
DOMS,DOMS Industries Limited,doms
DONEAR,Donear Industries Limited,donear
DPABHUSHAN,D. P. Abhushan Limited,d p abhushan
DPSCLTD,DPSC Limited,dpsc
DPWIRES,D P Wires Limited,d p wires
DRCSYSTEMS,DRC Systems India Limited,drc systems
DREAMFOLKS,Dreamfolks Services Limited,dreamfolks services
DREDGECORP,Dredging Corporation of India Limited,dredging corporation of
DRREDDY,Dr. Reddy's Laboratories Limited,dr reddy s laboratories
DSSL,Dynacons Systems & Solutions Limited,dynacons systems solutions
DTIL,Dhunseri Tea & Industries Limited,dhunseri tea
DUCON,Ducon Infratechnologies Limited,ducon infratechnologies
DVL,Dhunseri Ventures Limited,dhunseri ventures
DWARKESH,Dwarikesh Sugar Industries Limited,dwarikesh sugar
DYCL,Dynamic Cables Limited,dynamic cables
DYNAMATECH,Dynamatic Technologies Limited,dynamatic technologies
DYNPRO,Dynemic Products Limited,dynemic products
E2E,E2E Networks Limited,e2e networks
EASEMYTRIP,Easy Trip Planners Limited,easy trip planners
EBGNG,GNG Electronics Limited,gng electronics
ECLERX,eClerx Services Limited,eclerx services
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,ecos india mobility hospitality
EDELWEISS,Edelweiss Financial Services Limited,edelweiss financial services
EFCIL,EFC (I) Limited,efc i
EICHERMOT,Eicher Motors Limited,eicher motors
EIDPARRY,EID Parry India Limited,eid parry
EIEL,Enviro Infra Engineers Limited,enviro infra engineers
EIFFL,Euro India Fresh Foods Limited,euro india fresh foods
EIHAHOTELS,EIH Associated Hotels Limited,eih associated hotels
EIHOTEL,EIH Limited,eih
EIMCOELECO,Eimco Elecon (India) Limited,eimco elecon
EKC,Everest Kanto Cylinder Limited,everest kanto cylinder
ELDEHSG,Eldeco Housing And Industries Limited,eldeco housing and
ELECON,Elecon Engineering Company Limited,elecon engineering
ELECTCAST,Electrosteel Castings Limited,electrosteel castings
ELECTHERM,Electrotherm (India) Limited,electrotherm
ELGIEQUIP,Elgi Equipments Limited,elgi equipments
ELGIRUBCO,Elgi Rubber Company Limited,elgi rubber
ELIN,Elin Electronics Limited,elin electronics
ELLEN,Ellenbarrie Industrial Gases Limited,ellenbarrie industrial gases
EMAMILTD,Emami Limited,emami
EMAMIPAP,Emami Paper Mills Limited,emami paper mills
EMAMIREAL,Emami Realty Limited,emami realty
EMBDL,Embassy Developments Limited,embassy developments
EMCURE,Emcure Pharmaceuticals Limited,emcure pharmaceuticals
EMIL,Electronics Mart India Limited,electronics mart
EMKAY,Emkay Global Financial Services Limited,emkay global financial services
EMMBI,Emmbi Industries Limited,emmbi
EMSLIMITED,EMS Limited,ems
EMUDHRA,eMudhra Limited,emudhra
ENDURANCE,Endurance Technologies Limited,endurance technologies
ENERGYDEV,Energy Development Company Limited,energy development
ENGINERSIN,Engineers India Limited,engineers
ENIL,Entertainment Network (India) Limited,entertainment network
ENRIN,Siemens Energy India Limited,siemens energy
ENTERO,Entero Healthcare Solutions Limited,entero healthcare solutions
EPACK,EPACK Durable Limited,epack durable
EPIGRAL,Epigral Limited,epigral
EPL,EPL Limited,epl
EQUIPPP,Equippp Social Impact Technologies Limited,equippp social impact technologies
EQUITASBNK,Equitas Small Finance Bank Limited,equitas small finance bank
ERIS,Eris Lifesciences Limited,eris lifesciences
ESABINDIA,Esab India Limited,esab
ESAFSFB,ESAF Small Finance Bank Limited,esaf small finance bank
ESCORTS,Escorts Kubota Limited,escorts kubota
ESSARSHPNG,Essar Shipping Limited,essar shipping
ESSENTIA,Integra Essentia Limited,integra essentia
ESTER,Ester Industries Limited,ester
ETERNAL,ETERNAL LIMITED,eternal
ETHOSLTD,Ethos Limited,ethos
EUREKAFORB,Eureka Forbes Limited,eureka forbes
EUROBOND,Euro Panel Products Limited,euro panel products
EUROTEXIND,Eurotex Industries and Exports Limited,eurotex industries and exports
EVEREADY,Eveready Industries India Limited,eveready industries
EVERESTIND,Everest Industries Limited,everest
EXCEL,Excel Realty N Infra Limited,excel realty n infra
EXCELINDUS,Excel Industries Limited,excel
EXICOM,Exicom Tele-Systems Limited,exicom tele systems
EXIDEIND,Exide Industries Limited,exide
EXPLEOSOL,Expleo Solutions Limited,expleo solutions
EXXARO,Exxaro Tiles Limited,exxaro tiles
FACT,Fertilizers and Chemicals Travancore Limited,fertilizers and chemicals travancore
FAIRCHEMOR,Fairchem Organics Limited,fairchem organics
FAZE3Q,Faze Three Limited,faze three
FCL,Fineotex Chemical Limited,fineotex chemical
FCSSOFT,FCS Software Solutions Limited,fcs software solutions
FDC,FDC Limited,fdc
FEDERALBNK,The Federal Bank  Limited,the federal bank
FEDFINA,Fedbank Financial Services Limited,fedbank financial services
FEL,Future Enterprises Limited,future enterprises
FELDVR,Future Enterprises Limited,future enterprises
FIBERWEB,Fiberweb (India) Limited,fiberweb
FIEMIND,Fiem Industries Limited,fiem
FILATEX,Filatex India Limited,filatex
FILATFASH,Filatex Fashions Limited,filatex fashions
FINCABLES,Finolex Cables Limited,finolex cables
FINEORG,Fine Organic Industries Limited,fine organic
FINOPB,Fino Payments Bank Limited,fino payments bank
FINPIPE,Finolex Industries Limited,finolex
FIRSTCRY,Brainbees Solutions Limited,brainbees solutions
FISCHER,Fischer Medical Ventures Limited,fischer medical ventures
FIVESTAR,Five-Star Business Finance Limited,five star business finance
FLAIR,Flair Writing Industries Limited,flair writing
FLEXITUFF,Flexituff Ventures International Limited,flexituff ventures international
FLFL,Future Lifestyle Fashions Limited,future lifestyle fashions
FLUOROCHEM,Gujarat Fluorochemicals Limited,gujarat fluorochemicals
FMGOETZE,Federal-Mogul Goetze (India) Limited.,federal mogul goetze
FMNL,Future Market Networks Limited,future market networks
FOCUS,Focus Lighting and Fixtures Limited,focus lighting and fixtures
FOODSIN,Foods & Inns Limited,foods inns
FORCEMOT,FORCE MOTORS LTD,force motors
FORTIS,Fortis Healthcare Limited,fortis healthcare
FOSECOIND,Foseco India Limited,foseco
FSC,Future Supply Chain Solutions Limited,future supply chain solutions
FSL,Firstsource Solutions Limited,firstsource solutions
FUSION,Fusion Finance Limited,fusion finance
GABRIEL,Gabriel India Limited,gabriel
GAEL,Gujarat Ambuja Exports Limited,gujarat ambuja exports
GAIL,GAIL (India) Limited,gail
GALAPREC,Gala Precision Engineering Limited,gala precision engineering
GALAXYSURF,Galaxy Surfactants Limited,galaxy surfactants
GALLANTT,Gallantt Ispat Limited,gallantt ispat
GANDHAR,Gandhar Oil Refinery (India) Limited,gandhar oil refinery
GANDHITUBE,Gandhi Special Tubes Limited,gandhi special tubes
GANECOS,Ganesha Ecosphere Limited,ganesha ecosphere
GANESHBE,Ganesh Benzoplast Limited,ganesh benzoplast
GANESHHOUC,Ganesh Housing Corporation Limited,ganesh housing corporation
GANGAFORGE,Ganga Forging Limited,ganga forging
GANGESSECU,Ganges Securities Limited,ganges securities
GARFIBRES,Garware Technical Fibres Limited,garware technical fibres
GARUDA,Garuda Construction and Engineering Limited,garuda construction and engineering
GATECH,GACM Technologies Limited,gacm technologies
GATECHDVR,GACM Technologies Limited,gacm technologies
GATEWAY,Gateway Distriparks Limited,gateway distriparks
GAYAHWS,Gayatri Highways Limited,gayatri highways
GAYAPROJ,Gayatri Projects Limited,gayatri projects
GCSL,Gretex Corporate Services Limited,gretex corporate services
GEECEE,GeeCee Ventures Limited,geecee ventures
GEEKAYWIRE,Geekay Wires Limited,geekay wires
GEMAROMA,Gem Aromatics Limited,gem aromatics
GENCON,Generic Engineering Construction and Projects Limited,generic engineering construction and projects
GENESYS,Genesys International Corporation Limited,genesys international corporation
GENSOL,Gensol Engineering Limited,gensol engineering
GENUSPAPER,Genus Paper & Boards Limited,genus paper boards
GENUSPOWER,Genus Power Infrastructures Limited,genus power infrastructures
GEOJITFSL,Geojit Financial Services Limited,geojit financial services
GESHIP,The Great Eastern Shipping Company Limited,the great eastern shipping
GFLLIMITED,GFL Limited,gfl
GHCL,GHCL Limited,ghcl
GHCLTEXTIL,GHCL Textiles Limited,ghcl textiles
GICHSGFIN,GIC Housing Finance Limited,gic housing finance
GICRE,General Insurance Corporation of India,general insurance corporation of
GILLANDERS,Gillanders Arbuthnot & Company Limited,gillanders arbuthnot
GILLETTE,Gillette India Limited,gillette
GINNIFILA,Ginni Filaments Limited,ginni filaments
GIPCL,Gujarat Industries Power Company Limited,gujarat industries power
GKWLIMITED,GKW Limited,gkw
GLAND,Gland Pharma Limited,gland pharma
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,glaxosmithkline pharmaceuticals
GLENMARK,Glenmark Pharmaceuticals Limited,glenmark pharmaceuticals
GLFL,Gujarat Lease Financing Limited,gujarat lease financing
GLOBAL,Global Education Limited,global education
GLOBALE,Globale Tessile Limited,globale tessile
GLOBALVECT,Global Vectra Helicorp Limited,global vectra helicorp
GLOBE,Globe Textiles (India) Limited,globe textiles
GLOBECIVIL,Globe Civil Projects Limited,globe civil projects
GLOBUSSPR,Globus Spirits Limited,globus spirits
GLOSTERLTD,Gloster Limited,gloster
GMBREW,GM Breweries Limited,gm breweries
GMDCLTD,Gujarat Mineral Development Corporation Limited,gujarat mineral development corporation
GMMPFAUDLR,GMM Pfaudler Limited,gmm pfaudler
GMRAIRPORT,GMR AIRPORTS LIMITED,gmr airports
GMRP&UI,GMR Power and Urban Infra Limited,gmr power and urban infra
GNA,GNA Axles Limited,gna axles
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,gujarat narmada valley fertilizers and chemicals
GOACARBON,Goa Carbon Limited,goa carbon
GOCLCORP,GOCL Corporation Limited,gocl corporation
GOCOLORS,Go Fashion (India) Limited,go fashion
GODAVARIB,Godavari Biorefineries Limited,godavari biorefineries
GODFRYPHLP,Godfrey Phillips India Limited,godfrey phillips
GODHA,Godha Cabcon & Insulation Limited,godha cabcon insulation
GODIGIT,Go Digit General Insurance Limited,go digit general insurance
GODREJAGRO,Godrej Agrovet Limited,godrej agrovet
GODREJCP,Godrej Consumer Products Limited,godrej consumer products
GODREJIND,Godrej Industries Limited,godrej
GODREJPROP,Godrej Properties Limited,godrej properties
GOENKA,Goenka Diamond and Jewels Limited,goenka diamond and jewels
GOKEX,Gokaldas Exports Limited,gokaldas exports
GOKUL,Gokul Refoils and Solvent Limited,gokul refoils and solvent
GOKULAGRO,Gokul Agro Resources Limited,gokul agro resources
GOLDENTOBC,Golden Tobacco Limited,golden tobacco
GOLDIAM,Goldiam International Limited,goldiam international
GOLDTECH,AION-TECH SOLUTIONS LIMITED,aion tech solutions
GOODLUCK,Goodluck India Limited,goodluck
GOPAL,Gopal Snacks Limited,gopal snacks
GOYALALUM,Goyal Aluminiums Limited,goyal aluminiums
GPIL,Godawari Power And Ispat limited,godawari power and ispat
GPPL,Gujarat Pipavav Port Limited,gujarat pipavav port
GPTHEALTH,GPT Healthcare Limited,gpt healthcare
GPTINFRA,GPT Infraprojects Limited,gpt infraprojects
GRANULES,Granules India Limited,granules
GRAPHITE,Graphite India Limited,graphite
GRASIM,Grasim Industries Limited,grasim
GRAVITA,Gravita India Limited,gravita
GREAVESCOT,Greaves Cotton Limited,greaves cotton
GREENLAM,Greenlam Industries Limited,greenlam
GREENPANEL,Greenpanel Industries Limited,greenpanel
GREENPLY,Greenply Industries Limited,greenply
GREENPOWER,Orient Green Power Company Limited,orient green power
GRINDWELL,Grindwell Norton Limited,grindwell norton
GRINFRA,G R Infraprojects Limited,g r infraprojects
GRMOVER,GRM Overseas Limited,grm overseas
GROBTEA,The Grob Tea Company Limited,the grob tea
GRPLTD,GRP Limited,grp
GRSE,Garden Reach Shipbuilders & Engineers Limited,garden reach shipbuilders engineers
GRWRHITECH,Garware Hi-Tech Films Limited,garware hi tech films
GSFC,Gujarat State Fertilizers & Chemicals Limited,gujarat state fertilizers chemicals
GSLSU,Global Surfaces Limited,global surfaces
GSPL,Gujarat State Petronet Limited,gujarat state petronet
GSS,GSS Infotech Limited,gss infotech
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,g tec jainx education
GTL,GTL Limited,gtl
GTLINFRA,GTL Infrastructure Limited,gtl infrastructure
GTPL,GTPL Hathway Limited,gtpl hathway
GUFICBIO,Gufic Biosciences Limited,gufic biosciences
GUJALKALI,Gujarat Alkalies and Chemicals Limited,gujarat alkalies and chemicals
GUJAPOLLO,Gujarat Apollo Industries Limited,gujarat apollo
GUJGASLTD,Gujarat Gas Limited,gujarat gas
GUJRAFFIA,Gujarat Raffia Industries Limited,gujarat raffia
GUJTHEM,Gujarat Themis Biosyn Limited,gujarat themis biosyn
GULFOILLUB,Gulf Oil Lubricants India Limited,gulf oil lubricants
GULFPETRO,GP Petroleums Limited,gp petroleums
GULPOLY,Gulshan Polyols Limited,gulshan polyols
GVKPIL,GVK Power & Infrastructure Limited,gvk power infrastructure
GVPIL,GE Power India Limited,ge power
GVPTECH,GVP Infotech Limited,gvp infotech
GVT&D,GE Vernova T&D India Limited,ge vernova t d
HAL,Hindustan Aeronautics Limited,hindustan aeronautics
HAPPSTMNDS,Happiest Minds Technologies Limited,happiest minds technologies
HAPPYFORGE,Happy Forgings Limited,happy forgings
HARDWYN,Hardwyn India Limited,hardwyn
HARIOMPIPE,Hariom Pipe Industries Limited,hariom pipe
HARRMALAYA,Harrisons  Malayalam Limited,harrisons malayalam
HARSHA,Harsha Engineers International Limited,harsha engineers international
HATHWAY,Hathway Cable & Datacom Limited,hathway cable datacom
HATSUN,Hatsun Agro Product Limited,hatsun agro product
HAVELLS,Havells India Limited,havells
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,sri havisha hospitality and infrastructure
HBLENGINE,HBL Engineering Limited,hbl engineering
HBSL,HB Stockholdings Limited,hb stockholdings
HCC,Hindustan Construction Company Limited,hindustan construction
HCG,Healthcare Global Enterprises Limited,healthcare global enterprises
HCL-INSYS,HCL Infosystems Limited,hcl infosystems
HCLTECH,HCL Technologies Limited,hcl technologies
HDBFS,HDB Financial Services Limited,hdb financial services
HDFCAMC,HDFC Asset Management Company Limited,hdfc asset management
HDFCBANK,HDFC Bank Limited,hdfc bank
HDFCLIFE,HDFC Life Insurance Company Limited,hdfc life insurance
HDIL,Housing Development and Infrastructure Limited,housing development and infrastructure
HEADSUP,Heads UP Ventures Limited,heads up ventures
HECPROJECT,HEC Infra Projects Limited,hec infra projects
HEG,HEG Limited,heg
HEIDELBERG,HeidelbergCement India Limited,heidelbergcement
HEMIPROP,Hemisphere Properties India Limited,hemisphere properties
HERANBA,Heranba Industries Limited,heranba
HERCULES,Hercules Hoists Limited,hercules hoists
HERITGFOOD,Heritage Foods Limited,heritage foods
HEROMOTOCO,Hero MotoCorp Limited,hero motocorp
HESTERBIO,Hester Biosciences Limited,hester biosciences
HEUBACHIND,Heubach Colorants India Limited,heubach colorants
HEXATRADEX,Hexa Tradex Limited,hexa tradex
HEXT,Hexaware Technologies Limited,hexaware technologies
HFCL,HFCL Limited,hfcl
HGINFRA,H.G. Infra Engineering Limited,h g infra engineering
HGM,HandsOn Global Management (HGM) Limited,handson global management hgm
HGS,Hinduja Global Solutions Limited,hinduja global solutions
HIKAL,Hikal Limited,hikal
HILINFRA,Highway Infrastructure Limited,highway infrastructure
HILTON,Hilton Metal Forging Limited,hilton metal forging
HIMATSEIDE,Himatsingka Seide Limited,himatsingka seide
HINDALCO,Hindalco Industries Limited,hindalco
